Exchange,Symbol,Name,Symbol_Name,Sector,Industry
NASDAQ,AACBU,Artius II Acquisition Inc. Units,AACBU | Artius II Acquisition Inc. Units,Finance,Blank Checks
NASDAQ,AACG,ATA Creativity Global American Depositary Shares,AACG | ATA Creativity Global American Depositary Shares,Real Estate,Other Consumer Services
NASDAQ,AAL,American Airlines Group Inc. Common Stock,AAL | American Airlines Group Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
NASDAQ,AAME,Atlantic American Corporation Common Stock,AAME | Atlantic American Corporation Common Stock,Finance,Life Insurance
NASDAQ,AAOI,Applied Optoelectronics Inc. Common Stock,AAOI | Applied Optoelectronics Inc. Common Stock,Technology,Semiconductors
NASDAQ,AAON,AAON Inc. Common Stock,AAON | AAON Inc. Common Stock,Industrials,Industrial Machinery/Components
NASDAQ,AAPG,Ascentage Pharma Group International American Depository Shares,AAPG | Ascentage Pharma Group International American Depository Shares,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AAPL,Apple Inc. Common Stock,AAPL | Apple Inc. Common Stock,Technology,Computer Manufacturing
NASDAQ,AARD,Aardvark Therapeutics Inc. Common Stock,AARD | Aardvark Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ABAT,American Battery Technology Company Common Stock,ABAT | American Battery Technology Company Common Stock,Basic Materials,Metal Mining
NASDAQ,ABCL,AbCellera Biologics Inc. Common Shares,ABCL | AbCellera Biologics Inc. Common Shares,Health Care,Pharmaceuticals and Biotechnology
NASDAQ,ABEO,Abeona Therapeutics Inc. Common Stock,ABEO | Abeona Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ABL,Abacus Global Management Inc. Class A Common Stock,ABL | Abacus Global Management Inc. Class A Common Stock,Finance,Investment Managers
NASDAQ,ABLLL,Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,ABLLL | Abacus Global Management Inc. 9.875% Fixed Rate Senior Notes due 2028,Finance,Investment Managers
NASDAQ,ABLLW,Abacus Global Management Inc. Warrant,ABLLW | Abacus Global Management Inc. Warrant,Finance,Investment Managers
NASDAQ,ABLV,Able View Global Inc. Class B Ordinary Shares,ABLV | Able View Global Inc. Class B Ordinary Shares,Consumer Discretionary,Other Consumer Services
NASDAQ,ABLVW,Able View Global Inc. Warrant,ABLVW | Able View Global Inc. Warrant,Consumer Discretionary,Other Consumer Services
NASDAQ,ABNB,Airbnb Inc. Class A Common Stock,ABNB | Airbnb Inc. Class A Common Stock,Finance,Diversified Commercial Services
NASDAQ,ABOS,Acumen Pharmaceuticals Inc. Common Stock,ABOS | Acumen Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ABP,Abpro Holdings Inc Common Stock,ABP | Abpro Holdings Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ABSI,Absci Corporation Common Stock,ABSI | Absci Corporation Common Stock,Health Care,Biotechnology: Commercial Physical & Biological Resarch
NASDAQ,ABTS,Abits Group Inc Ordinary Shares,ABTS | Abits Group Inc Ordinary Shares,Technology,Computer Software: Programming Data Processing
NASDAQ,ABUS,Arbutus Biopharma Corporation Common Stock,ABUS | Arbutus Biopharma Corporation Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ABVC,ABVC BioPharma Inc. Common Stock,ABVC | ABVC BioPharma Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ABVE,Above Food Ingredients Inc. Common Stock,ABVE | Above Food Ingredients Inc. Common Stock,Consumer Staples,Packaged Foods
NASDAQ,ABVEW,Above Food Ingredients Inc. Warrants,ABVEW | Above Food Ingredients Inc. Warrants,Consumer Staples,Packaged Foods
NASDAQ,ABVX,Abivax SA American Depositary Shares,ABVX | Abivax SA American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,ACAD | ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACB,Aurora Cannabis Inc. Common Shares,ACB | Aurora Cannabis Inc. Common Shares,Health Care, Medicinal Chemicals and Botanical Products 
NASDAQ,ACCD,Accolade Inc. Common Stock,ACCD | Accolade Inc. Common Stock,Consumer Discretionary,Business Services
NASDAQ,ACDC,ProFrac Holding Corp. Class A Common Stock,ACDC | ProFrac Holding Corp. Class A Common Stock,Energy,Oilfield Services/Equipment
NASDAQ,ACET,Adicet Bio Inc. Common Stock ,ACET | Adicet Bio Inc. Common Stock ,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACGL,Arch Capital Group Ltd. Common Stock,ACGL | Arch Capital Group Ltd. Common Stock,Finance,Property-Casualty Insurers
NASDAQ,ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,ACGLN | Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,Finance,Property-Casualty Insurers
NASDAQ,ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,ACGLO | Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,Finance,Property-Casualty Insurers
NASDAQ,ACHC,Acadia Healthcare Company Inc. Common Stock,ACHC | Acadia Healthcare Company Inc. Common Stock,Health Care,Medical Specialities
NASDAQ,ACHV,Achieve Life Sciences Inc. Common Shares,ACHV | Achieve Life Sciences Inc. Common Shares,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
NASDAQ,ACIC,American Coastal Insurance Corporation Common Stock,ACIC | American Coastal Insurance Corporation Common Stock,Finance,Property-Casualty Insurers
NASDAQ,ACIU,AC Immune SA Common Stock,ACIU | AC Immune SA Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACIW,ACI Worldwide Inc. Common Stock,ACIW | ACI Worldwide Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,ACLS,Axcelis Technologies Inc. Common Stock,ACLS | Axcelis Technologies Inc. Common Stock,Technology,Industrial Machinery/Components
NASDAQ,ACLX,Arcellx Inc. Common Stock,ACLX | Arcellx Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ACMR,ACM Research Inc. Class A Common Stock,ACMR | ACM Research Inc. Class A Common Stock,Technology,Industrial Machinery/Components
NASDAQ,ACNB,ACNB Corporation Common Stock,ACNB | ACNB Corporation Common Stock,Finance,Major Banks
NASDAQ,ACNT,Ascent Industries Co. Common Stock,ACNT | Ascent Industries Co. Common Stock,Industrials,Steel/Iron Ore
NASDAQ,ACOG,Alpha Cognition Inc. Common Stock,ACOG | Alpha Cognition Inc. Common Stock,,
NASDAQ,ACON,Aclarion Inc. Common Stock,ACON | Aclarion Inc. Common Stock,Health Care,Medical Specialities
NASDAQ,ACONW,Aclarion Inc. Warrant,ACONW | Aclarion Inc. Warrant,Health Care,Medical Specialities
NASDAQ,ACRS,Aclaris Therapeutics Inc. Common Stock,ACRS | Aclaris Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACRV,Acrivon Therapeutics Inc. Common Stock,ACRV | Acrivon Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACT,Enact Holdings Inc. Common Stock,ACT | Enact Holdings Inc. Common Stock,Finance,Specialty Insurers
NASDAQ,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,ACTG | Acacia Research Corporation (Acacia Tech) Common Stock,Miscellaneous,Multi-Sector Companies
NASDAQ,ACTU,Actuate Therapeutics Inc. Common stock,ACTU | Actuate Therapeutics Inc. Common stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ACXP,Acurx Pharmaceuticals Inc. Common Stock,ACXP | Acurx Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADAG,Adagene Inc. American Depositary Shares,ADAG | Adagene Inc. American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,ADAP | Adaptimmune Therapeutics plc American Depositary Shares,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADBE,Adobe Inc. Common Stock,ADBE | Adobe Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,ADD,Color Star Technology Co. Ltd. Class A Ordinary Shares,ADD | Color Star Technology Co. Ltd. Class A Ordinary Shares,Consumer Discretionary,Engineering & Construction
NASDAQ,ADEA,Adeia Inc. Common Stock,ADEA | Adeia Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,ADGM,Adagio Medical Holdings Inc Common Stock,ADGM | Adagio Medical Holdings Inc Common Stock,Health Care,Medical/Dental Instruments
NASDAQ,ADI,Analog Devices Inc. Common Stock,ADI | Analog Devices Inc. Common Stock,Technology,Semiconductors
NASDAQ,ADIL,Adial Pharmaceuticals Inc Common Stock,ADIL | Adial Pharmaceuticals Inc Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADMA,ADMA Biologics Inc Common Stock,ADMA | ADMA Biologics Inc Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADN,Advent Technologies Holdings Inc. Class A Common Stock,ADN | Advent Technologies Holdings Inc. Class A Common Stock,Miscellaneous,Industrial Machinery/Components
NASDAQ,ADNWW,Advent Technologies Holdings Inc. Warrant,ADNWW | Advent Technologies Holdings Inc. Warrant,Miscellaneous,Industrial Machinery/Components
NASDAQ,ADP,Automatic Data Processing Inc. Common Stock,ADP | Automatic Data Processing Inc. Common Stock,Technology,EDP Services
NASDAQ,ADPT,Adaptive Biotechnologies Corporation Common Stock,ADPT | Adaptive Biotechnologies Corporation Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,ADSE | ADS-TEC ENERGY PLC Ordinary Shares,Consumer Discretionary,Industrial Specialties
NASDAQ,ADSEW,ADS-TEC ENERGY PLC Warrant,ADSEW | ADS-TEC ENERGY PLC Warrant,Consumer Discretionary,Industrial Specialties
NASDAQ,ADSK,Autodesk Inc. Common Stock,ADSK | Autodesk Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,ADTN,ADTRAN Holdings Inc. Common Stock,ADTN | ADTRAN Holdings Inc. Common Stock,Utilities,Telecommunications Equipment
NASDAQ,ADTX,Aditxt Inc. Common Stock,ADTX | Aditxt Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,ADUR,Aduro Clean Technologies Inc. Common Stock,ADUR | Aduro Clean Technologies Inc. Common Stock,,
NASDAQ,ADUS,Addus HomeCare Corporation Common Stock,ADUS | Addus HomeCare Corporation Common Stock,Health Care,Medical/Nursing Services
NASDAQ,ADV,Advantage Solutions Inc. Class A Common Stock,ADV | Advantage Solutions Inc. Class A Common Stock,Consumer Discretionary,Business Services
NASDAQ,ADVB,Advanced Biomed Inc. Common Stock,ADVB | Advanced Biomed Inc. Common Stock,Health Care,Medical Specialities
NASDAQ,ADVM,Adverum Biotechnologies Inc. Common Stock,ADVM | Adverum Biotechnologies Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,ADVWW,Advantage Solutions Inc. Warrant,ADVWW | Advantage Solutions Inc. Warrant,Consumer Discretionary,Business Services
NASDAQ,ADXN,Addex Therapeutics Ltd American Depositary Shares,ADXN | Addex Therapeutics Ltd American Depositary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AEHL,Antelope Enterprise Holdings Limited Class A Ordinary Shares,AEHL | Antelope Enterprise Holdings Limited Class A Ordinary Shares,Industrials,Building Materials
NASDAQ,AEHR,Aehr Test Systems Common Stock,AEHR | Aehr Test Systems Common Stock,Industrials,Electrical Products
NASDAQ,AEI,Alset Inc. Common Stock (TX),AEI | Alset Inc. Common Stock (TX),Finance,Real Estate
NASDAQ,AEIS,Advanced Energy Industries Inc. Common Stock,AEIS | Advanced Energy Industries Inc. Common Stock,Technology,Industrial Machinery/Components
NASDAQ,AEMD,Aethlon Medical Inc. Common Stock,AEMD | Aethlon Medical Inc. Common Stock,Health Care,Medical/Dental Instruments
NASDAQ,AENT,Alliance Entertainment Holding Corporation Class A Common Stock,AENT | Alliance Entertainment Holding Corporation Class A Common Stock,Consumer Discretionary,Durable Goods
NASDAQ,AENTW,Alliance Entertainment Holding Corporation Warrants,AENTW | Alliance Entertainment Holding Corporation Warrants,Consumer Discretionary,Durable Goods
NASDAQ,AEP,American Electric Power Company Inc. Common Stock,AEP | American Electric Power Company Inc. Common Stock,Utilities,Electric Utilities: Central
NASDAQ,AERT,Aeries Technology Inc. Class A Ordinary Share,AERT | Aeries Technology Inc. Class A Ordinary Share,Consumer Discretionary,Professional Services
NASDAQ,AERTW,Aeries Technology Inc. Warrant,AERTW | Aeries Technology Inc. Warrant,Consumer Discretionary,Professional Services
NASDAQ,AEVA,Aeva Technologies Inc. Common Stock,AEVA | Aeva Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
NASDAQ,AEVAW,Aeva Technologies Inc. Warrants,AEVAW | Aeva Technologies Inc. Warrants,Consumer Discretionary,Auto Parts:O.E.M.
NASDAQ,AEYE,AudioEye Inc. Common Stock,AEYE | AudioEye Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,AFBI,Affinity Bancshares Inc. Common Stock (MD),AFBI | Affinity Bancshares Inc. Common Stock (MD),Finance,Banks
NASDAQ,AFCG,Advanced Flower Capital Inc. Common Stock,AFCG | Advanced Flower Capital Inc. Common Stock,Finance,Real Estate
NASDAQ,AFJK,Aimei Health Technology Co. Ltd Ordinary Share,AFJK | Aimei Health Technology Co. Ltd Ordinary Share,,
NASDAQ,AFJKR,Aimei Health Technology Co. Ltd Right,AFJKR | Aimei Health Technology Co. Ltd Right,,
NASDAQ,AFJKU,Aimei Health Technology Co. Ltd Unit,AFJKU | Aimei Health Technology Co. Ltd Unit,,
NASDAQ,AFMD,Affimed N.V.,AFMD | Affimed N.V.,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AFRI,Forafric Global PLC Ordinary Shares,AFRI | Forafric Global PLC Ordinary Shares,Consumer Staples,Packaged Foods
NASDAQ,AFRIW,Forafric Global PLC Warrants,AFRIW | Forafric Global PLC Warrants,Consumer Staples,Packaged Foods
NASDAQ,AFRM,Affirm Holdings Inc. Class A Common Stock,AFRM | Affirm Holdings Inc. Class A Common Stock,Finance,Finance: Consumer Services
NASDAQ,AFYA,Afya Limited Class A Common Shares,AFYA | Afya Limited Class A Common Shares,Real Estate,Other Consumer Services
NASDAQ,AGAE,Allied Gaming & Entertainment Inc. Common Stock,AGAE | Allied Gaming & Entertainment Inc. Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
NASDAQ,AGEN,Agenus Inc. Common Stock,AGEN | Agenus Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
NASDAQ,AGFY,Agrify Corporation Common Stock,AGFY | Agrify Corporation Common Stock,Consumer Staples,Farming/Seeds/Milling
NASDAQ,AGH,Aureus Greenway Holdings Inc. Common Stock,AGH | Aureus Greenway Holdings Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
NASDAQ,AGIO,Agios Pharmaceuticals Inc. Common Stock,AGIO | Agios Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
NASDAQ,AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,AGMH | AGM Group Holdings Inc. Class A Ordinary Shares,Technology,EDP Services
NASDAQ,AGNC,AGNC Investment Corp. Common Stock,AGNC | AGNC Investment Corp. Common Stock,Real Estate,Real Estate Investment Trusts
NASDAQ,AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,AGNCL | AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
NASDAQ,AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCM | AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
NASDAQ,AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,AGNCN | AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
NASDAQ,AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,AGNCO | AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
NASDAQ,AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,AGNCP | AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
NASDAQ,AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,AGRI | AgriFORCE  Growing Systems Ltd. Common Shares,Industrials,Metal Fabrications
NASDAQ,AGYS,Agilysys Inc. Common Stock (DE),AGYS | Agilysys Inc. Common Stock (DE),Technology,EDP Services
NASDAQ,AHCO,AdaptHealth Corp. Common Stock,AHCO | AdaptHealth Corp. Common Stock,Health Care,Medical/Nursing Services
NASDAQ,AHG,Akso Health Group ADS,AHG | Akso Health Group ADS,Consumer Discretionary,Business Services
NASDAQ,AIEV,Thunder Power Holdings Inc. Common Stock,AIEV | Thunder Power Holdings Inc. Common Stock,Consumer Discretionary,Auto Manufacturing
NASDAQ,AIFE,Aifeex Nexus Acquisition Corporation Class A Ordinary Shares,AIFE | Aifeex Nexus Acquisition Corporation Class A Ordinary Shares,,
NASDAQ,AIFEU,Aifeex Nexus Acquisition Corporation Unit,AIFEU | Aifeex Nexus Acquisition Corporation Unit,,
NASDAQ,AIFF,Firefly Neuroscience Inc. Common Stock,AIFF | Firefly Neuroscience Inc. Common Stock,Technology,Computer Software: Prepackaged Software
NASDAQ,AIFU,AIX Inc. American Depositary Shares,AIFU | AIX Inc. American Depositary Shares,Finance,Specialty Insurers
